,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00020290000247769058,28.0,0.0,1,10000,0
1,1,0.006003700022120029,26.0,2.0,1,10000,0
2,2,0.0060913000197615474,26.0,3.0,1,10000,0
3,3,0.006242300005396828,25.0,5.0,1,10000,0
4,4,0.006324900023173541,25.0,6.0,1,10000,0
5,5,0.006473900022683665,24.0,8.0,1,10000,0
6,6,0.006624800007557496,21.0,10.0,1,10000,0
7,7,0.0067743000108748674,20.0,12.0,1,10000,0
8,8,0.00686429999768734,20.0,13.0,1,10000,0
9,9,0.0069500000099651515,20.0,14.0,1,10000,0
10,10,0.007035600021481514,20.0,15.0,1,10000,0
11,11,0.007188100018538535,19.0,17.0,1,10000,0
12,12,0.007274800009327009,19.0,18.0,1,10000,0
13,13,0.007362000003922731,19.0,19.0,1,10000,0
14,14,0.007449600001564249,19.0,20.0,1,10000,0
15,15,0.00753689999692142,19.0,21.0,1,10000,0
16,16,0.007624899997608736,19.0,22.0,1,10000,0
17,17,0.007713900005910546,19.0,23.0,1,10000,0
18,18,0.007808900001691654,19.0,24.0,1,10000,0
19,19,0.00790440000128001,19.0,25.0,1,10000,0
20,20,0.00799490002100356,19.0,26.0,1,10000,0
21,21,0.008085400011623278,19.0,27.0,1,10000,0
22,1,0.006003700022120029,29.0,29.0,1,10000,1
23,2,0.0060913000197615474,29.0,30.0,1,10000,1
24,3,0.006242300005396828,29.0,31.0,1,10000,1
25,4,0.006324900023173541,29.0,32.0,1,10000,1
26,5,0.006473900022683665,28.0,34.0,1,10000,1
27,6,0.006624800007557496,28.0,35.0,1,10000,1
28,7,0.0067743000108748674,28.0,36.0,1,10000,1
29,8,0.00686429999768734,28.0,37.0,1,10000,1
30,9,0.0069500000099651515,28.0,38.0,1,10000,1
31,10,0.007035600021481514,28.0,39.0,1,10000,1
32,11,0.007188100018538535,24.0,41.0,1,10000,1
33,12,0.007274800009327009,24.0,42.0,1,10000,1
34,13,0.007362000003922731,24.0,43.0,1,10000,1
35,14,0.007449600001564249,24.0,44.0,1,10000,1
36,15,0.00753689999692142,24.0,45.0,1,10000,1
37,16,0.007624899997608736,24.0,46.0,1,10000,1
38,17,0.007713900005910546,24.0,47.0,1,10000,1
39,18,0.007808900001691654,24.0,48.0,1,10000,1
40,19,0.00790440000128001,23.0,50.0,1,10000,1
41,20,0.00799490002100356,23.0,51.0,1,10000,1
42,21,0.008085400011623278,23.0,52.0,1,10000,1
43,22,0.013416700006928295,23.0,53.0,1,10000,1
44,23,0.019538599997758865,23.0,54.0,1,10000,1
45,24,0.019680500001413748,23.0,55.0,1,10000,1
46,25,0.01981630001682788,23.0,56.0,1,10000,1
47,26,0.019961000012699515,22.0,58.0,1,10000,1
48,27,0.020200700004352257,22.0,59.0,1,10000,1
49,28,0.02033660002052784,22.0,60.0,1,10000,1
50,29,0.020472200005315244,22.0,61.0,1,10000,1
51,30,0.020608399994671345,22.0,62.0,1,10000,1
52,31,0.02074570002150722,20.0,64.0,1,10000,1
53,32,0.020877000002656132,20.0,65.0,1,10000,1
54,33,0.021111700014444068,19.0,67.0,1,10000,1
55,34,0.0212537000188604,19.0,68.0,1,10000,1
56,35,0.02139440001337789,19.0,69.0,1,10000,1
57,36,0.021536200016271323,19.0,70.0,1,10000,1
58,37,0.021677700016880408,19.0,71.0,1,10000,1
59,38,0.021820099995238706,19.0,72.0,1,10000,1
60,39,0.02197820000583306,19.0,73.0,1,10000,1
61,40,0.022135800012620166,19.0,74.0,1,10000,1
62,41,0.022376200009603053,19.0,75.0,1,10000,1
63,42,0.02251740000792779,17.0,77.0,1,10000,1
64,43,0.022666300006676465,16.0,79.0,1,10000,1
65,44,0.022827800014056265,16.0,80.0,1,10000,1
66,45,0.023006700008409098,16.0,81.0,1,10000,1
67,46,0.023162299999967217,16.0,82.0,1,10000,1
68,47,0.02329700000700541,16.0,83.0,1,10000,1
69,48,0.023478600021917373,15.0,85.0,1,10000,1
70,49,0.023582299996633083,15.0,86.0,1,10000,1
71,50,0.023685799998929724,15.0,87.0,1,10000,1
72,51,0.02379190002102405,15.0,88.0,1,10000,1
73,52,0.023920800013002008,14.0,90.0,1,10000,1
74,53,0.02413700000033714,14.0,91.0,1,10000,1
75,54,0.024259300000267103,14.0,92.0,1,10000,1
76,55,0.02443020002101548,14.0,93.0,1,10000,1
77,56,0.02453700001933612,12.0,95.0,1,10000,1
78,57,0.02464360001613386,12.0,96.0,1,10000,1
79,58,0.024750600015977398,11.0,98.0,1,10000,1
80,59,0.02487160000600852,11.0,99.0,1,10000,1
81,60,0.024981900001876056,11.0,100.0,1,10000,1
82,61,0.02509219999774359,9.0,102.0,1,10000,1
83,62,0.025201800017384812,9.0,103.0,1,10000,1
84,63,0.025312400015536696,9.0,104.0,1,10000,1
85,64,0.02548820001538843,9.0,105.0,1,10000,1
86,65,0.025666200002888218,9.0,106.0,1,10000,1
87,66,0.0257800999970641,9.0,107.0,1,10000,1
88,67,0.02589530000113882,9.0,108.0,1,10000,1
89,68,0.02600640000309795,9.0,109.0,1,10000,1
90,69,0.026119800022570416,9.0,110.0,1,10000,1
91,70,0.026299500023014843,9.0,111.0,1,10000,1
92,71,0.02641419999417849,9.0,112.0,1,10000,1
93,0,0.00020290000247769058,28.0,0.0,10,10000,0
94,1,0.006003700022120029,26.0,2.0,10,10000,0
95,2,0.0060913000197615474,26.0,3.0,10,10000,0
96,3,0.006242300005396828,25.0,5.0,10,10000,0
97,4,0.006324900023173541,25.0,6.0,10,10000,0
98,5,0.006473900022683665,24.0,8.0,10,10000,0
99,6,0.006624800007557496,21.0,10.0,10,10000,0
100,7,0.0067743000108748674,20.0,12.0,10,10000,0
101,8,0.00686429999768734,20.0,13.0,10,10000,0
102,9,0.0069500000099651515,20.0,14.0,10,10000,0
103,10,0.007035600021481514,20.0,15.0,10,10000,0
104,11,0.007188100018538535,19.0,17.0,10,10000,0
105,12,0.007274800009327009,19.0,18.0,10,10000,0
106,13,0.007362000003922731,19.0,19.0,10,10000,0
107,14,0.007449600001564249,19.0,20.0,10,10000,0
108,15,0.00753689999692142,19.0,21.0,10,10000,0
109,16,0.007624899997608736,19.0,22.0,10,10000,0
110,17,0.007713900005910546,19.0,23.0,10,10000,0
111,18,0.007808900001691654,19.0,24.0,10,10000,0
112,19,0.00790440000128001,19.0,25.0,10,10000,0
113,20,0.00799490002100356,19.0,26.0,10,10000,0
114,21,0.008085400011623278,19.0,27.0,10,10000,0
115,1,0.006003700022120029,29.0,29.0,10,10000,1
116,2,0.0060913000197615474,29.0,30.0,10,10000,1
117,3,0.006242300005396828,29.0,31.0,10,10000,1
118,4,0.006324900023173541,29.0,32.0,10,10000,1
119,5,0.006473900022683665,28.0,34.0,10,10000,1
120,6,0.006624800007557496,28.0,35.0,10,10000,1
121,7,0.0067743000108748674,28.0,36.0,10,10000,1
122,8,0.00686429999768734,28.0,37.0,10,10000,1
123,9,0.0069500000099651515,28.0,38.0,10,10000,1
124,10,0.007035600021481514,28.0,39.0,10,10000,1
125,11,0.007188100018538535,24.0,41.0,10,10000,1
126,12,0.007274800009327009,24.0,42.0,10,10000,1
127,13,0.007362000003922731,24.0,43.0,10,10000,1
128,14,0.007449600001564249,24.0,44.0,10,10000,1
129,15,0.00753689999692142,24.0,45.0,10,10000,1
130,16,0.007624899997608736,24.0,46.0,10,10000,1
131,17,0.007713900005910546,24.0,47.0,10,10000,1
132,18,0.007808900001691654,24.0,48.0,10,10000,1
133,19,0.00790440000128001,23.0,50.0,10,10000,1
134,20,0.00799490002100356,23.0,51.0,10,10000,1
135,21,0.008085400011623278,23.0,52.0,10,10000,1
136,22,0.013416700006928295,23.0,53.0,10,10000,1
137,23,0.019538599997758865,23.0,54.0,10,10000,1
138,24,0.019680500001413748,23.0,55.0,10,10000,1
139,25,0.01981630001682788,23.0,56.0,10,10000,1
140,26,0.019961000012699515,22.0,58.0,10,10000,1
141,27,0.020200700004352257,22.0,59.0,10,10000,1
142,28,0.02033660002052784,22.0,60.0,10,10000,1
143,29,0.020472200005315244,22.0,61.0,10,10000,1
144,30,0.020608399994671345,22.0,62.0,10,10000,1
