,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
10,0.0,18.0,0,0.00039839999999458087,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",geometric,10,0.99,0.001,9.999959959542121,10,10000,
11,250.0,7.0,475,0.09300670000015998,"[8, 10, 9, 8, 11, 0, 8, 10, 4, 7, 8, 10, 8, 7, 7, 9, 3, 1, 10, 0, 5, 5, 7, 4, 2, 3, 0, 3, 5, 0, 11, 1, 5, 5, 7, 2, 0, 2, 5, 9, 7, 10, 6, 5, 4, 8, 6, 3, 11, 0, 2, 8, 4, 5, 10, 2, 1, 5, 6, 1, 2, 7, 0, 11, 1, 4, 2, 1, 4, 6, 8, 7, 0, 7, 6, 9, 11, 5, 10, 9, 7, 10, 0, 2, 1, 7, 9, 4, 6, 6, 3, 4, 6, 5, 10, 2, 1, 1, 9, 9]",geometric,10,0.99,0.001,9.99065688169727,10,10000,
12,1000.0,0.0,996,0.24461949999999888,"[5, 0, 3, 3, 11, 2, 11, 4, 2, 9, 6, 9, 9, 3, 0, 3, 8, 10, 10, 0, 10, 4, 11, 4, 6, 6, 2, 10, 5, 1, 11, 2, 6, 1, 3, 4, 4, 6, 1, 2, 7, 1, 8, 1, 9, 1, 3, 3, 11, 0, 4, 6, 6, 4, 1, 8, 8, 6, 3, 10, 8, 5, 4, 1, 6, 6, 3, 11, 6, 4, 0, 10, 9, 9, 9, 8, 0, 1, 5, 9, 7, 1, 10, 3, 1, 5, 7, 2, 9, 9, 0, 1, 8, 4, 6, 2, 6, 2, 11, 1]",geometric,10,0.99,0.001,9.975445115246771,10,10000,
13,2500.0,0.0,996,0.24461949999999888,"[5, 0, 3, 3, 11, 2, 11, 4, 2, 9, 6, 9, 9, 3, 0, 3, 8, 10, 10, 0, 10, 4, 11, 4, 6, 6, 2, 10, 5, 1, 11, 2, 6, 1, 3, 4, 4, 6, 1, 2, 7, 1, 8, 1, 9, 1, 3, 3, 11, 0, 4, 6, 6, 4, 1, 8, 8, 6, 3, 10, 8, 5, 4, 1, 6, 6, 3, 11, 6, 4, 0, 10, 9, 9, 9, 8, 0, 1, 5, 9, 7, 1, 10, 3, 1, 5, 7, 2, 9, 9, 0, 1, 8, 4, 6, 2, 6, 2, 11, 1]",geometric,10,0.99,0.001,9.975445115246771,10,10000,
14,10000.0,0.0,996,0.24461949999999888,"[5, 0, 3, 3, 11, 2, 11, 4, 2, 9, 6, 9, 9, 3, 0, 3, 8, 10, 10, 0, 10, 4, 11, 4, 6, 6, 2, 10, 5, 1, 11, 2, 6, 1, 3, 4, 4, 6, 1, 2, 7, 1, 8, 1, 9, 1, 3, 3, 11, 0, 4, 6, 6, 4, 1, 8, 8, 6, 3, 10, 8, 5, 4, 1, 6, 6, 3, 11, 6, 4, 0, 10, 9, 9, 9, 8, 0, 1, 5, 9, 7, 1, 10, 3, 1, 5, 7, 2, 9, 9, 0, 1, 8, 4, 6, 2, 6, 2, 11, 1]",geometric,10,0.99,0.001,9.975445115246771,10,10000,
15,0.0,18.0,0,0.00042500000017753337,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",exponential,10,,0.001,9.999978750022569,10,10000,0.005
16,250.0,24.0,488,0.10012800000004063,"[4, 0, 7, 7, 11, 4, 8, 3, 7, 10, 8, 10, 8, 7, 0, 9, 10, 1, 5, 8, 4, 5, 6, 6, 7, 10, 10, 5, 3, 0, 11, 1, 5, 6, 7, 2, 10, 1, 0, 9, 7, 5, 11, 5, 4, 8, 9, 3, 11, 10, 3, 8, 10, 10, 5, 2, 1, 1, 6, 1, 0, 4, 0, 0, 1, 4, 11, 10, 5, 1, 8, 7, 8, 2, 7, 8, 0, 9, 10, 11, 4, 3, 9, 8, 1, 10, 11, 7, 6, 11, 1, 3, 6, 5, 9, 3, 1, 1, 0, 9]",exponential,10,,0.001,9.994994852992939,10,10000,0.005
17,1000.0,0.0,1220,0.3142178000000513,"[8, 0, 1, 3, 11, 3, 11, 1, 3, 9, 9, 1, 8, 8, 0, 3, 11, 3, 3, 8, 2, 11, 11, 6, 7, 2, 2, 10, 11, 1, 4, 10, 5, 1, 6, 7, 3, 4, 2, 2, 7, 2, 1, 1, 8, 1, 8, 4, 0, 0, 10, 7, 7, 4, 3, 4, 4, 1, 4, 10, 3, 6, 5, 1, 10, 5, 11, 0, 5, 9, 9, 5, 0, 8, 5, 6, 0, 10, 6, 11, 6, 1, 7, 9, 1, 1, 7, 11, 0, 11, 0, 10, 7, 6, 9, 3, 6, 1, 9, 1]",exponential,10,,0.001,9.984301445142513,10,10000,0.005
18,2500.0,0.0,1220,0.3142178000000513,"[8, 0, 1, 3, 11, 3, 11, 1, 3, 9, 9, 1, 8, 8, 0, 3, 11, 3, 3, 8, 2, 11, 11, 6, 7, 2, 2, 10, 11, 1, 4, 10, 5, 1, 6, 7, 3, 4, 2, 2, 7, 2, 1, 1, 8, 1, 8, 4, 0, 0, 10, 7, 7, 4, 3, 4, 4, 1, 4, 10, 3, 6, 5, 1, 10, 5, 11, 0, 5, 9, 9, 5, 0, 8, 5, 6, 0, 10, 6, 11, 6, 1, 7, 9, 1, 1, 7, 11, 0, 11, 0, 10, 7, 6, 9, 3, 6, 1, 9, 1]",exponential,10,,0.001,9.984301445142513,10,10000,0.005
19,10000.0,0.0,1220,0.3142178000000513,"[8, 0, 1, 3, 11, 3, 11, 1, 3, 9, 9, 1, 8, 8, 0, 3, 11, 3, 3, 8, 2, 11, 11, 6, 7, 2, 2, 10, 11, 1, 4, 10, 5, 1, 6, 7, 3, 4, 2, 2, 7, 2, 1, 1, 8, 1, 8, 4, 0, 0, 10, 7, 7, 4, 3, 4, 4, 1, 4, 10, 3, 6, 5, 1, 10, 5, 11, 0, 5, 9, 9, 5, 0, 8, 5, 6, 0, 10, 6, 11, 6, 1, 7, 9, 1, 1, 7, 11, 0, 11, 0, 10, 7, 6, 9, 3, 6, 1, 9, 1]",exponential,10,,0.001,9.984301445142513,10,10000,0.005
