,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0.0,7.0,0,0.00019210000004932226,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",geometric,1,0.99,0.001,0.9999980693323458,1,10000,
1,250.0,0.0,303,0.0378153999999995,"[0, 4, 9, 4, 3, 8, 3, 0, 9, 10, 9, 9, 6, 7, 5, 8, 8, 1, 7, 7, 6, 10, 5, 3, 8, 8, 0, 11, 10, 5, 2, 5, 4, 3, 7, 10, 5, 11, 11, 4, 2, 10, 1, 4, 0, 3, 9, 4, 4, 10]",geometric,1,0.99,0.001,0.9996200147422573,1,10000,
2,1000.0,0.0,303,0.0378153999999995,"[0, 4, 9, 4, 3, 8, 3, 0, 9, 10, 9, 9, 6, 7, 5, 8, 8, 1, 7, 7, 6, 10, 5, 3, 8, 8, 0, 11, 10, 5, 2, 5, 4, 3, 7, 10, 5, 11, 11, 4, 2, 10, 1, 4, 0, 3, 9, 4, 4, 10]",geometric,1,0.99,0.001,0.9996200147422573,1,10000,
3,2500.0,0.0,303,0.0378153999999995,"[0, 4, 9, 4, 3, 8, 3, 0, 9, 10, 9, 9, 6, 7, 5, 8, 8, 1, 7, 7, 6, 10, 5, 3, 8, 8, 0, 11, 10, 5, 2, 5, 4, 3, 7, 10, 5, 11, 11, 4, 2, 10, 1, 4, 0, 3, 9, 4, 4, 10]",geometric,1,0.99,0.001,0.9996200147422573,1,10000,
4,10000.0,0.0,303,0.0378153999999995,"[0, 4, 9, 4, 3, 8, 3, 0, 9, 10, 9, 9, 6, 7, 5, 8, 8, 1, 7, 7, 6, 10, 5, 3, 8, 8, 0, 11, 10, 5, 2, 5, 4, 3, 7, 10, 5, 11, 11, 4, 2, 10, 1, 4, 0, 3, 9, 4, 4, 10]",geometric,1,0.99,0.001,0.9996200147422573,1,10000,
5,0.0,7.0,0,0.00019290000000182772,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",exponential,1,,0.001,0.9999990355004651,1,10000,0.005
6,250.0,0.0,398,0.04911489999994956,"[2, 4, 7, 4, 11, 0, 3, 6, 9, 9, 9, 10, 6, 4, 5, 8, 9, 1, 0, 0, 1, 10, 11, 3, 5, 8, 0, 8, 10, 1, 2, 6, 8, 3, 1, 2, 5, 4, 5, 4, 3, 10, 1, 5, 0, 2, 8, 7, 8, 0]",exponential,1,,0.001,0.9997544556509497,1,10000,0.005
7,1000.0,0.0,398,0.04911489999994956,"[2, 4, 7, 4, 11, 0, 3, 6, 9, 9, 9, 10, 6, 4, 5, 8, 9, 1, 0, 0, 1, 10, 11, 3, 5, 8, 0, 8, 10, 1, 2, 6, 8, 3, 1, 2, 5, 4, 5, 4, 3, 10, 1, 5, 0, 2, 8, 7, 8, 0]",exponential,1,,0.001,0.9997544556509497,1,10000,0.005
8,2500.0,0.0,398,0.04911489999994956,"[2, 4, 7, 4, 11, 0, 3, 6, 9, 9, 9, 10, 6, 4, 5, 8, 9, 1, 0, 0, 1, 10, 11, 3, 5, 8, 0, 8, 10, 1, 2, 6, 8, 3, 1, 2, 5, 4, 5, 4, 3, 10, 1, 5, 0, 2, 8, 7, 8, 0]",exponential,1,,0.001,0.9997544556509497,1,10000,0.005
9,10000.0,0.0,398,0.04911489999994956,"[2, 4, 7, 4, 11, 0, 3, 6, 9, 9, 9, 10, 6, 4, 5, 8, 9, 1, 0, 0, 1, 10, 11, 3, 5, 8, 0, 8, 10, 1, 2, 6, 8, 3, 1, 2, 5, 4, 5, 4, 3, 10, 1, 5, 0, 2, 8, 7, 8, 0]",exponential,1,,0.001,0.9997544556509497,1,10000,0.005
