,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
84,1,0.08375139999998282,10.0,502.0,250.0,0.5,2500
85,2,0.1247656000000461,8.0,754.0,250.0,0.5,2500
86,3,0.16674409999995987,8.0,1005.0,250.0,0.5,2500
87,4,0.20824760000004972,8.0,1256.0,250.0,0.5,2500
88,5,0.25029429999995045,8.0,1507.0,250.0,0.5,2500
89,6,0.2931559000001016,8.0,1758.0,250.0,0.5,2500
90,7,0.33454120000010334,7.0,2010.0,250.0,0.5,2500
91,8,0.3775087999999869,7.0,2261.0,250.0,0.5,2500
92,9,0.42038370000000214,7.0,2512.0,250.0,0.5,2500
93,10,0.4629433000000063,6.0,2764.0,250.0,0.5,2500
94,11,0.50511060000008,6.0,3015.0,250.0,0.5,2500
95,12,0.5475083000001177,6.0,3266.0,250.0,0.5,2500
96,13,0.5909504000001107,6.0,3517.0,250.0,0.5,2500
97,14,0.6337091000000328,6.0,3768.0,250.0,0.5,2500
98,15,0.6768809000000147,6.0,4019.0,250.0,0.5,2500
99,16,0.7201634999998987,6.0,4270.0,250.0,0.5,2500
100,17,0.763080200000104,4.0,4522.0,250.0,0.5,2500
101,18,0.8055471000000125,4.0,4773.0,250.0,0.5,2500
102,19,0.8470727999999781,4.0,5024.0,250.0,0.5,2500
103,20,0.890117200000077,4.0,5275.0,250.0,0.5,2500
104,21,0.9331214000001182,4.0,5526.0,250.0,0.5,2500
105,22,0.976508499999909,4.0,5777.0,250.0,0.5,2500
106,23,1.019914100000051,4.0,6028.0,250.0,0.5,2500
107,24,1.062181100000089,4.0,6279.0,250.0,0.5,2500
108,25,1.105091800000082,4.0,6530.0,250.0,0.5,2500
109,26,1.1495563999999376,4.0,6781.0,250.0,0.5,2500
110,27,1.1923228999999083,4.0,7032.0,250.0,0.5,2500
111,28,1.2337113000000954,4.0,7283.0,250.0,0.5,2500
112,29,1.2764581999999791,4.0,7534.0,250.0,0.5,2500
113,30,1.3188723999999183,4.0,7785.0,250.0,0.5,2500
114,31,1.3636570999999549,4.0,8036.0,250.0,0.5,2500
115,32,1.405082499999935,4.0,8287.0,250.0,0.5,2500
116,33,1.4477696999999807,4.0,8538.0,250.0,0.5,2500
117,34,1.4900139999999737,4.0,8789.0,250.0,0.5,2500
118,35,1.532431600000109,4.0,9040.0,250.0,0.5,2500
119,36,1.574210100000073,4.0,9291.0,250.0,0.5,2500
120,37,0.03488939999988361,4.0,9542.0,250.0,0.5,2500
121,38,0.08310080000001108,4.0,9793.0,250.0,0.5,2500
122,39,0.12450530000000981,1.0,10045.0,250.0,0.5,2500
123,40,0.16624019999994744,1.0,10296.0,250.0,0.5,2500
124,41,0.20863799999983712,1.0,10547.0,250.0,0.5,2500
125,42,0.25206069999990177,1.0,10798.0,250.0,0.5,2500
126,43,0.2952285999999731,1.0,11049.0,250.0,0.5,2500
127,44,0.3394882999998572,1.0,11300.0,250.0,0.5,2500
128,45,0.38296470000000227,1.0,11551.0,250.0,0.5,2500
129,46,0.42657139999982974,1.0,11802.0,250.0,0.5,2500
130,47,0.46914079999987734,1.0,12053.0,250.0,0.5,2500
131,48,0.5130165999999008,1.0,12304.0,250.0,0.5,2500
132,49,0.5572216999999,1.0,12555.0,250.0,0.5,2500
133,50,0.5992387999999664,0.0,12807.0,250.0,0.5,2500
134,0,0.03536149999990812,18.0,1000.0,1000.0,0.1,2500
135,1,0.08375139999998282,8.0,2002.0,1000.0,0.1,2500
136,2,0.1247656000000461,8.0,3003.0,1000.0,0.1,2500
137,3,0.16674409999995987,6.0,4005.0,1000.0,0.1,2500
138,4,0.20824760000004972,6.0,5006.0,1000.0,0.1,2500
139,5,0.25029429999995045,6.0,6007.0,1000.0,0.1,2500
140,6,0.2931559000001016,6.0,7008.0,1000.0,0.1,2500
141,7,0.33454120000010334,6.0,8009.0,1000.0,0.1,2500
142,8,0.3775087999999869,6.0,9010.0,1000.0,0.1,2500
143,9,0.42038370000000214,6.0,10011.0,1000.0,0.1,2500
144,10,0.4629433000000063,6.0,11012.0,1000.0,0.1,2500
145,11,0.50511060000008,6.0,12013.0,1000.0,0.1,2500
146,12,0.5475083000001177,6.0,13014.0,1000.0,0.1,2500
147,13,0.5909504000001107,6.0,14015.0,1000.0,0.1,2500
148,14,0.6337091000000328,6.0,15016.0,1000.0,0.1,2500
149,15,0.6768809000000147,6.0,16017.0,1000.0,0.1,2500
150,16,0.7201634999998987,6.0,17018.0,1000.0,0.1,2500
151,17,0.763080200000104,6.0,18019.0,1000.0,0.1,2500
152,18,0.8055471000000125,5.0,19021.0,1000.0,0.1,2500
153,19,0.8470727999999781,5.0,20022.0,1000.0,0.1,2500
154,20,0.890117200000077,5.0,21023.0,1000.0,0.1,2500
155,21,0.9331214000001182,5.0,22024.0,1000.0,0.1,2500
156,22,0.976508499999909,5.0,23025.0,1000.0,0.1,2500
157,23,1.019914100000051,5.0,24026.0,1000.0,0.1,2500
158,24,1.062181100000089,5.0,25027.0,1000.0,0.1,2500
159,25,1.105091800000082,5.0,26028.0,1000.0,0.1,2500
160,26,1.1495563999999376,5.0,27029.0,1000.0,0.1,2500
161,27,1.1923228999999083,5.0,28030.0,1000.0,0.1,2500
162,28,1.2337113000000954,5.0,29031.0,1000.0,0.1,2500
163,29,1.2764581999999791,5.0,30032.0,1000.0,0.1,2500
164,30,1.3188723999999183,5.0,31033.0,1000.0,0.1,2500
165,31,1.3636570999999549,5.0,32034.0,1000.0,0.1,2500
166,32,1.405082499999935,5.0,33035.0,1000.0,0.1,2500
167,33,1.4477696999999807,5.0,34036.0,1000.0,0.1,2500
168,34,1.4900139999999737,4.0,35038.0,1000.0,0.1,2500
169,35,1.532431600000109,4.0,36039.0,1000.0,0.1,2500
170,36,1.574210100000073,4.0,37040.0,1000.0,0.1,2500
171,37,0.03488939999988361,3.0,38042.0,1000.0,0.1,2500
172,38,0.08310080000001108,3.0,39043.0,1000.0,0.1,2500
173,39,0.12450530000000981,3.0,40044.0,1000.0,0.1,2500
174,40,0.16624019999994744,3.0,41045.0,1000.0,0.1,2500
175,41,0.20863799999983712,3.0,42046.0,1000.0,0.1,2500
176,42,0.25206069999990177,3.0,43047.0,1000.0,0.1,2500
177,43,0.2952285999999731,3.0,44048.0,1000.0,0.1,2500
178,44,0.3394882999998572,3.0,45049.0,1000.0,0.1,2500
179,45,0.38296470000000227,3.0,46050.0,1000.0,0.1,2500
