,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0022957999990467215,253.0,0.0,50,2500,0
1,1,0.009718299999804003,253.0,1.0,50,2500,0
2,2,0.010970999999699416,253.0,2.0,50,2500,0
3,3,0.012067199999364675,253.0,3.0,50,2500,0
4,4,0.01435469999887573,255.0,5.0,50,2500,0
5,5,0.015740099999675294,255.0,6.0,50,2500,0
6,6,0.0169633999994403,255.0,7.0,50,2500,0
7,7,0.019258299998909933,257.0,9.0,50,2500,0
8,8,0.02045650000036403,257.0,10.0,50,2500,0
9,9,0.021603999999570078,257.0,11.0,50,2500,0
10,10,0.023871299999882467,259.0,13.0,50,2500,0
11,11,0.026037899999209912,261.0,15.0,50,2500,0
12,12,0.02711979999912728,261.0,16.0,50,2500,0
13,13,0.028314600000157952,261.0,17.0,50,2500,0
14,14,0.029406999999991967,261.0,18.0,50,2500,0
15,15,0.03051249999953143,261.0,19.0,50,2500,0
16,16,0.031604599998900085,261.0,20.0,50,2500,0
17,17,0.03270820000034291,261.0,21.0,50,2500,0
18,18,0.033796399999118876,261.0,22.0,50,2500,0
19,19,0.03497909999896365,261.0,23.0,50,2500,0
20,20,0.036070599999220576,261.0,24.0,50,2500,0
21,21,0.03823729999930947,263.0,26.0,50,2500,0
22,22,0.03932929999973567,263.0,27.0,50,2500,0
23,23,0.040420899998935056,263.0,28.0,50,2500,0
24,24,0.04159849999996368,263.0,29.0,50,2500,0
25,25,0.04268969999975525,263.0,30.0,50,2500,0
26,26,0.043784399998912704,263.0,31.0,50,2500,0
27,27,0.04487139999946521,263.0,32.0,50,2500,0
28,28,0.045971300000019255,263.0,33.0,50,2500,0
29,29,0.04707629999938945,263.0,34.0,50,2500,0
30,30,0.048257999998895684,263.0,35.0,50,2500,0
31,31,0.050420999999914784,265.0,37.0,50,2500,0
32,32,0.052581399999326095,267.0,39.0,50,2500,0
33,33,0.053672699999879114,267.0,40.0,50,2500,0
34,34,0.05476319999979751,267.0,41.0,50,2500,0
35,35,0.05593659999976808,267.0,42.0,50,2500,0
36,36,0.05704209999930754,267.0,43.0,50,2500,0
37,37,0.058141100000284496,267.0,44.0,50,2500,0
38,38,0.0603147000001627,269.0,46.0,50,2500,0
39,39,0.06140830000003916,269.0,47.0,50,2500,0
40,40,0.06259979999958887,269.0,48.0,50,2500,0
41,41,0.06370040000001609,269.0,49.0,50,2500,0
42,42,0.06589499999972759,271.0,51.0,50,2500,0
43,43,0.06700230000024021,271.0,52.0,50,2500,0
44,44,0.06810509999922942,271.0,53.0,50,2500,0
45,45,0.07036039999911736,273.0,55.0,50,2500,0
46,46,0.07146780000039143,273.0,56.0,50,2500,0
47,47,0.07388499999979103,275.0,58.0,50,2500,0
48,48,0.07499710000047344,275.0,59.0,50,2500,0
49,49,0.07728940000015427,277.0,61.0,50,2500,0
50,50,0.07841499999994994,277.0,62.0,50,2500,0
51,51,0.07951890000003914,277.0,63.0,50,2500,0
52,52,0.08062749999953667,277.0,64.0,50,2500,0
53,53,0.08173709999937273,277.0,65.0,50,2500,0
54,54,0.08283970000047702,277.0,66.0,50,2500,0
55,55,0.0851650000004156,279.0,68.0,50,2500,0
56,56,0.08627849999902537,279.0,69.0,50,2500,0
57,57,0.08739000000059605,279.0,70.0,50,2500,0
58,58,0.08850290000009409,279.0,71.0,50,2500,0
59,59,0.08961280000039551,279.0,72.0,50,2500,0
60,60,0.09080499999981839,279.0,73.0,50,2500,0
61,61,0.0919250999995711,279.0,74.0,50,2500,0
62,62,0.09307489999991958,279.0,75.0,50,2500,0
63,63,0.09527909999997064,281.0,77.0,50,2500,0
64,64,0.09639470000001893,281.0,78.0,50,2500,0
65,65,0.09759870000016235,281.0,79.0,50,2500,0
66,66,0.09872439999890048,281.0,80.0,50,2500,0
67,67,0.10090909999962605,283.0,82.0,50,2500,0
68,68,0.10201869999946211,283.0,83.0,50,2500,0
69,69,0.10313130000031379,283.0,84.0,50,2500,0
70,70,0.10432810000020254,283.0,85.0,50,2500,0
71,71,0.10652089999894088,285.0,87.0,50,2500,0
72,72,0.10764869999911753,285.0,88.0,50,2500,0
73,73,0.10984250000001339,287.0,90.0,50,2500,0
74,74,0.11104469999918365,287.0,91.0,50,2500,0
75,75,0.11216719999902125,287.0,92.0,50,2500,0
76,76,0.11337669999920763,287.0,93.0,50,2500,0
77,77,0.11450279999917257,287.0,94.0,50,2500,0
78,78,0.11562489999960235,287.0,95.0,50,2500,0
79,79,0.11674379999931261,287.0,96.0,50,2500,0
80,80,0.11794150000059744,287.0,97.0,50,2500,0
81,81,0.120140299999548,289.0,99.0,50,2500,0
82,82,0.12126290000014706,289.0,100.0,50,2500,0
83,83,0.1223881000005349,289.0,101.0,50,2500,0
84,84,0.1235328999991907,289.0,102.0,50,2500,0
85,85,0.12476029999925231,289.0,103.0,50,2500,0
86,86,0.12589200000002165,289.0,104.0,50,2500,0
87,87,0.1270266999999876,289.0,105.0,50,2500,0
88,88,0.12815260000024864,289.0,106.0,50,2500,0
89,89,0.13036009999996168,291.0,108.0,50,2500,0
90,90,0.1314948999988701,291.0,109.0,50,2500,0
91,91,0.13270849999935308,291.0,110.0,50,2500,0
92,92,0.13489669999944454,293.0,112.0,50,2500,0
93,93,0.13601930000004359,293.0,113.0,50,2500,0
94,94,0.13821879999886733,295.0,115.0,50,2500,0
95,95,0.13943429999926593,295.0,116.0,50,2500,0
96,96,0.14069600000038918,295.0,117.0,50,2500,0
97,97,0.14182110000001558,295.0,118.0,50,2500,0
98,98,0.1429401000004873,295.0,119.0,50,2500,0
99,99,0.14406489999964833,295.0,120.0,50,2500,0
100,100,0.14518469999893568,295.0,121.0,50,2500,0
101,101,0.14737389999936568,297.0,123.0,50,2500,0
102,102,0.1485047999995004,297.0,124.0,50,2500,0
103,103,0.14962580000064918,297.0,125.0,50,2500,0
104,104,0.15075539999998,297.0,126.0,50,2500,0
105,105,0.1518895999997767,297.0,127.0,50,2500,0
106,106,0.15303549999953248,297.0,128.0,50,2500,0
107,107,0.15522520000013174,299.0,130.0,50,2500,0
108,108,0.15743339999971795,301.0,132.0,50,2500,0
109,109,0.15856419999909122,301.0,133.0,50,2500,0
110,110,0.15969159999986005,301.0,134.0,50,2500,0
111,111,0.160827399999107,301.0,135.0,50,2500,0
112,112,0.1630286999989039,303.0,137.0,50,2500,0
113,113,0.16416260000005423,303.0,138.0,50,2500,0
114,114,0.16636649999963993,305.0,140.0,50,2500,0
115,115,0.16751259999909962,305.0,141.0,50,2500,0
116,116,0.16864709999936167,305.0,142.0,50,2500,0
117,117,0.16978689999996277,305.0,143.0,50,2500,0
118,118,0.1709238000003097,305.0,144.0,50,2500,0
119,119,0.17206129999976838,305.0,145.0,50,2500,0
120,120,0.17319809999935387,305.0,146.0,50,2500,0
121,121,0.17433469999923545,305.0,147.0,50,2500,0
122,122,0.17655229999945732,307.0,149.0,50,2500,0
123,123,0.17768969999997353,307.0,150.0,50,2500,0
124,124,0.17882859999917855,307.0,151.0,50,2500,0
125,125,0.1799635000006674,307.0,152.0,50,2500,0
126,126,0.1821641999995336,309.0,154.0,50,2500,0
127,127,0.18332159999954456,309.0,155.0,50,2500,0
128,128,0.1844662999992579,309.0,156.0,50,2500,0
129,129,0.18573749999995925,309.0,157.0,50,2500,0
130,130,0.18705989999943995,309.0,158.0,50,2500,0
131,131,0.1882272999991983,309.0,159.0,50,2500,0
132,132,0.18938100000013947,309.0,160.0,50,2500,0
133,133,0.19053639999947336,309.0,161.0,50,2500,0
134,134,0.19169390000024578,309.0,162.0,50,2500,0
135,135,0.19283919999907084,309.0,163.0,50,2500,0
136,136,0.1939870999995037,309.0,164.0,50,2500,0
137,1,0.009718299999804003,234.0,165.0,50,2500,1
138,2,0.010970999999699416,234.0,166.0,50,2500,1
139,3,0.012067199999364675,234.0,167.0,50,2500,1
140,4,0.01435469999887573,236.0,169.0,50,2500,1
141,5,0.015740099999675294,236.0,170.0,50,2500,1
142,6,0.0169633999994403,236.0,171.0,50,2500,1
143,7,0.019258299998909933,236.0,172.0,50,2500,1
144,8,0.02045650000036403,236.0,173.0,50,2500,1
145,9,0.021603999999570078,236.0,174.0,50,2500,1
146,10,0.023871299999882467,238.0,176.0,50,2500,1
147,11,0.026037899999209912,240.0,178.0,50,2500,1
148,12,0.02711979999912728,242.0,180.0,50,2500,1
149,13,0.028314600000157952,242.0,181.0,50,2500,1
150,14,0.029406999999991967,242.0,182.0,50,2500,1
151,15,0.03051249999953143,242.0,183.0,50,2500,1
152,16,0.031604599998900085,244.0,185.0,50,2500,1
153,17,0.03270820000034291,244.0,186.0,50,2500,1
154,18,0.033796399999118876,246.0,188.0,50,2500,1
155,19,0.03497909999896365,248.0,190.0,50,2500,1
156,20,0.036070599999220576,248.0,191.0,50,2500,1
157,21,0.03823729999930947,250.0,193.0,50,2500,1
158,22,0.03932929999973567,252.0,195.0,50,2500,1
159,23,0.040420899998935056,252.0,196.0,50,2500,1
160,24,0.04159849999996368,252.0,197.0,50,2500,1
161,25,0.04268969999975525,254.0,199.0,50,2500,1
162,26,0.043784399998912704,256.0,201.0,50,2500,1
163,27,0.04487139999946521,256.0,202.0,50,2500,1
164,28,0.045971300000019255,256.0,203.0,50,2500,1
165,29,0.04707629999938945,256.0,204.0,50,2500,1
166,30,0.048257999998895684,256.0,205.0,50,2500,1
167,31,0.050420999999914784,258.0,207.0,50,2500,1
168,32,0.052581399999326095,258.0,208.0,50,2500,1
169,33,0.053672699999879114,258.0,209.0,50,2500,1
170,34,0.05476319999979751,258.0,210.0,50,2500,1
171,35,0.05593659999976808,258.0,211.0,50,2500,1
172,36,0.05704209999930754,258.0,212.0,50,2500,1
173,37,0.058141100000284496,258.0,213.0,50,2500,1
174,38,0.0603147000001627,258.0,214.0,50,2500,1
175,39,0.06140830000003916,258.0,215.0,50,2500,1
176,40,0.06259979999958887,258.0,216.0,50,2500,1
177,41,0.06370040000001609,258.0,217.0,50,2500,1
178,1,0.009718299999804003,244.0,218.0,50,2500,2
179,2,0.010970999999699416,244.0,219.0,50,2500,2
180,3,0.012067199999364675,246.0,221.0,50,2500,2
181,4,0.01435469999887573,246.0,222.0,50,2500,2
182,5,0.015740099999675294,246.0,223.0,50,2500,2
183,6,0.0169633999994403,246.0,224.0,50,2500,2
184,7,0.019258299998909933,246.0,225.0,50,2500,2
185,8,0.02045650000036403,246.0,226.0,50,2500,2
186,9,0.021603999999570078,246.0,227.0,50,2500,2
187,10,0.023871299999882467,248.0,229.0,50,2500,2
188,11,0.026037899999209912,248.0,230.0,50,2500,2
189,12,0.02711979999912728,248.0,231.0,50,2500,2
190,13,0.028314600000157952,248.0,232.0,50,2500,2
191,14,0.029406999999991967,248.0,233.0,50,2500,2
192,15,0.03051249999953143,248.0,234.0,50,2500,2
193,16,0.031604599998900085,250.0,236.0,50,2500,2
194,17,0.03270820000034291,250.0,237.0,50,2500,2
195,18,0.033796399999118876,252.0,239.0,50,2500,2
196,19,0.03497909999896365,252.0,240.0,50,2500,2
197,20,0.036070599999220576,252.0,241.0,50,2500,2
198,21,0.03823729999930947,252.0,242.0,50,2500,2
199,22,0.03932929999973567,254.0,244.0,50,2500,2
200,23,0.040420899998935056,254.0,245.0,50,2500,2
201,24,0.04159849999996368,254.0,246.0,50,2500,2
202,25,0.04268969999975525,256.0,248.0,50,2500,2
203,26,0.043784399998912704,258.0,250.0,50,2500,2
204,27,0.04487139999946521,260.0,252.0,50,2500,2
205,28,0.045971300000019255,260.0,253.0,50,2500,2
206,29,0.04707629999938945,262.0,255.0,50,2500,2
207,30,0.048257999998895684,264.0,257.0,50,2500,2
208,31,0.050420999999914784,264.0,258.0,50,2500,2
209,32,0.052581399999326095,264.0,259.0,50,2500,2
210,33,0.053672699999879114,264.0,260.0,50,2500,2
211,34,0.05476319999979751,266.0,262.0,50,2500,2
212,35,0.05593659999976808,266.0,263.0,50,2500,2
213,36,0.05704209999930754,266.0,264.0,50,2500,2
214,37,0.058141100000284496,268.0,266.0,50,2500,2
215,38,0.0603147000001627,268.0,267.0,50,2500,2
216,39,0.06140830000003916,268.0,268.0,50,2500,2
217,40,0.06259979999958887,268.0,269.0,50,2500,2
218,41,0.06370040000001609,268.0,270.0,50,2500,2
219,42,0.06589499999972759,270.0,272.0,50,2500,2
220,43,0.06700230000024021,270.0,273.0,50,2500,2
221,44,0.06810509999922942,270.0,274.0,50,2500,2
222,45,0.07036039999911736,270.0,275.0,50,2500,2
223,46,0.07146780000039143,270.0,276.0,50,2500,2
224,47,0.07388499999979103,270.0,277.0,50,2500,2
225,48,0.07499710000047344,270.0,278.0,50,2500,2
226,49,0.07728940000015427,270.0,279.0,50,2500,2
227,50,0.07841499999994994,270.0,280.0,50,2500,2
228,51,0.07951890000003914,270.0,281.0,50,2500,2
229,52,0.08062749999953667,270.0,282.0,50,2500,2
230,1,0.009718299999804003,263.0,283.0,50,2500,3
231,2,0.010970999999699416,263.0,284.0,50,2500,3
232,3,0.012067199999364675,265.0,286.0,50,2500,3
233,4,0.01435469999887573,267.0,288.0,50,2500,3
234,5,0.015740099999675294,269.0,290.0,50,2500,3
235,6,0.0169633999994403,271.0,292.0,50,2500,3
236,7,0.019258299998909933,271.0,293.0,50,2500,3
237,8,0.02045650000036403,271.0,294.0,50,2500,3
238,9,0.021603999999570078,271.0,295.0,50,2500,3
239,10,0.023871299999882467,271.0,296.0,50,2500,3
