,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0.0,177.0,50,0.0016508999999587104,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",50.0,0.1,500
1,50.0,208.0,2602,0.14131529999986014,"[4, 4, 3, 4, 4, 3, 4, 3, 0, 4]",50.0,0.1,500
2,200.0,210.0,10254,0.5572279999998955,"[4, 4, 3, 4, 4, 2, 4, 4, 0, 4]",50.0,0.1,500
3,500.0,210.0,25554,1.4176399000000401,"[4, 4, 3, 4, 4, 2, 4, 4, 0, 4]",50.0,0.1,500
4,0.0,177.0,50,0.0011566000000584609,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",50.0,0.3,500
5,50.0,204.0,2604,0.14309370000000854,"[4, 4, 4, 4, 4, 3, 4, 1, 1, 4]",50.0,0.3,500
6,200.0,210.0,10256,0.562226100000089,"[4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",50.0,0.3,500
7,500.0,210.0,25556,1.4685552999999345,"[4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",50.0,0.3,500
8,0.0,177.0,50,0.0013648000001467153,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",50.0,0.5,500
9,50.0,211.0,2606,0.17934660000014446,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",50.0,0.5,500
10,200.0,211.0,10256,0.6842277000000649,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",50.0,0.5,500
11,500.0,211.0,25556,1.5668867000001683,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",50.0,0.5,500
12,0.0,177.0,200,0.0043435000000044965,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",200.0,0.1,500
13,50.0,211.0,10256,0.5434780000000501,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.1,500
14,200.0,211.0,40406,2.2085233000000244,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.1,500
15,500.0,211.0,100706,5.627390900000137,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.1,500
16,0.0,177.0,200,0.004462699999976394,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",200.0,0.3,500
17,50.0,211.0,10255,0.654954799999814,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.3,500
18,200.0,211.0,40405,2.339132399999926,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.3,500
19,500.0,211.0,100705,5.761050800000021,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.3,500
20,0.0,177.0,200,0.005053300000099625,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",200.0,0.5,500
21,50.0,211.0,10256,0.6768489000000955,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.5,500
22,200.0,211.0,40406,2.4846388000000843,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.5,500
23,500.0,211.0,100706,5.934394800000064,"[4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",200.0,0.5,500
