,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
12,0.0,7.0,200,0.015319300000101066,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",True,200.0,0.25,500
13,50.0,0.0,1812,0.9928439000000253,"[1.0, 5.0, 6.0, 11.0, 5.0, 0.0, 7.0, 7.0, 8.0, 9.0, 6.0, 6.0, 7.0, 5.0, 0.0, 1.0, 8.0, 9.0, 11.0, 0.0, 2.0, 5.0, 4.0, 7.0, 6.0, 3.0, 1.0, 10.0, 4.0, 7.0, 9.0, 0.0, 4.0, 4.0, 9.0, 8.0, 0.0, 11.0, 1.0, 2.0, 9.0, 8.0, 2.0, 10.0, 2.0, 3.0, 3.0, 10.0, 0.0, 1.0]",True,200.0,0.25,500
14,200.0,0.0,1812,0.9928439000000253,"[1.0, 5.0, 6.0, 11.0, 5.0, 0.0, 7.0, 7.0, 8.0, 9.0, 6.0, 6.0, 7.0, 5.0, 0.0, 1.0, 8.0, 9.0, 11.0, 0.0, 2.0, 5.0, 4.0, 7.0, 6.0, 3.0, 1.0, 10.0, 4.0, 7.0, 9.0, 0.0, 4.0, 4.0, 9.0, 8.0, 0.0, 11.0, 1.0, 2.0, 9.0, 8.0, 2.0, 10.0, 2.0, 3.0, 3.0, 10.0, 0.0, 1.0]",True,200.0,0.25,500
15,500.0,0.0,1812,0.9928439000000253,"[1.0, 5.0, 6.0, 11.0, 5.0, 0.0, 7.0, 7.0, 8.0, 9.0, 6.0, 6.0, 7.0, 5.0, 0.0, 1.0, 8.0, 9.0, 11.0, 0.0, 2.0, 5.0, 4.0, 7.0, 6.0, 3.0, 1.0, 10.0, 4.0, 7.0, 9.0, 0.0, 4.0, 4.0, 9.0, 8.0, 0.0, 11.0, 1.0, 2.0, 9.0, 8.0, 2.0, 10.0, 2.0, 3.0, 3.0, 10.0, 0.0, 1.0]",True,200.0,0.25,500
16,0.0,7.0,200,0.015240599999742699,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",True,200.0,0.5,500
17,50.0,0.0,3421,2.3469575999997687,"[4.0, 11.0, 3.0, 0.0, 7.0, 11.0, 9.0, 10.0, 10.0, 5.0, 7.0, 9.0, 11.0, 3.0, 6.0, 10.0, 10.0, 3.0, 10.0, 6.0, 6.0, 0.0, 2.0, 7.0, 9.0, 3.0, 4.0, 5.0, 9.0, 11.0, 0.0, 2.0, 9.0, 9.0, 3.0, 9.0, 1.0, 11.0, 3.0, 6.0, 6.0, 1.0, 11.0, 8.0, 4.0, 9.0, 5.0, 9.0, 8.0, 11.0]",True,200.0,0.5,500
18,200.0,0.0,3421,2.3469575999997687,"[4.0, 11.0, 3.0, 0.0, 7.0, 11.0, 9.0, 10.0, 10.0, 5.0, 7.0, 9.0, 11.0, 3.0, 6.0, 10.0, 10.0, 3.0, 10.0, 6.0, 6.0, 0.0, 2.0, 7.0, 9.0, 3.0, 4.0, 5.0, 9.0, 11.0, 0.0, 2.0, 9.0, 9.0, 3.0, 9.0, 1.0, 11.0, 3.0, 6.0, 6.0, 1.0, 11.0, 8.0, 4.0, 9.0, 5.0, 9.0, 8.0, 11.0]",True,200.0,0.5,500
19,500.0,0.0,3421,2.3469575999997687,"[4.0, 11.0, 3.0, 0.0, 7.0, 11.0, 9.0, 10.0, 10.0, 5.0, 7.0, 9.0, 11.0, 3.0, 6.0, 10.0, 10.0, 3.0, 10.0, 6.0, 6.0, 0.0, 2.0, 7.0, 9.0, 3.0, 4.0, 5.0, 9.0, 11.0, 0.0, 2.0, 9.0, 9.0, 3.0, 9.0, 1.0, 11.0, 3.0, 6.0, 6.0, 1.0, 11.0, 8.0, 4.0, 9.0, 5.0, 9.0, 8.0, 11.0]",True,200.0,0.5,500
20,0.0,7.0,200,0.015064300000176445,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",True,200.0,0.75,500
21,50.0,0.0,6233,5.215067600000111,"[6.0, 3.0, 11.0, 7.0, 7.0, 3.0, 4.0, 7.0, 0.0, 11.0, 11.0, 10.0, 2.0, 11.0, 4.0, 4.0, 5.0, 4.0, 7.0, 5.0, 1.0, 0.0, 10.0, 10.0, 3.0, 6.0, 10.0, 7.0, 6.0, 6.0, 0.0, 2.0, 7.0, 8.0, 0.0, 0.0, 5.0, 11.0, 6.0, 4.0, 0.0, 9.0, 5.0, 4.0, 1.0, 6.0, 3.0, 3.0, 5.0, 11.0]",True,200.0,0.75,500
22,200.0,0.0,6233,5.215067600000111,"[6.0, 3.0, 11.0, 7.0, 7.0, 3.0, 4.0, 7.0, 0.0, 11.0, 11.0, 10.0, 2.0, 11.0, 4.0, 4.0, 5.0, 4.0, 7.0, 5.0, 1.0, 0.0, 10.0, 10.0, 3.0, 6.0, 10.0, 7.0, 6.0, 6.0, 0.0, 2.0, 7.0, 8.0, 0.0, 0.0, 5.0, 11.0, 6.0, 4.0, 0.0, 9.0, 5.0, 4.0, 1.0, 6.0, 3.0, 3.0, 5.0, 11.0]",True,200.0,0.75,500
23,500.0,0.0,6233,5.215067600000111,"[6.0, 3.0, 11.0, 7.0, 7.0, 3.0, 4.0, 7.0, 0.0, 11.0, 11.0, 10.0, 2.0, 11.0, 4.0, 4.0, 5.0, 4.0, 7.0, 5.0, 1.0, 0.0, 10.0, 10.0, 3.0, 6.0, 10.0, 7.0, 6.0, 6.0, 0.0, 2.0, 7.0, 8.0, 0.0, 0.0, 5.0, 11.0, 6.0, 4.0, 0.0, 9.0, 5.0, 4.0, 1.0, 6.0, 3.0, 3.0, 5.0, 11.0]",True,200.0,0.75,500
